invoice_id,quantity,tax_5%,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,customer_id,product_id,sales_id,average_price_per_unit
750-67-8428,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,1,1,1,78.4245
226-31-3081,5,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6,2,2,2,16.044
631-41-3108,7,16.2155,340.5255,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4,3,3,3,48.6465
123-19-1176,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4,4,4,4,61.131
373-73-7910,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,3,5,5,90.6255
699-14-3026,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,5,6,6,89.6595
355-53-5943,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8,1,7,7,72.282
315-22-5665,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8.0,2,8,8,77.238
665-32-9167,2,3.626,76.146,1/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2,1,9,9,38.073
692-92-5582,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9,6,10,10,57.582
351-62-0822,4,2.896,60.816,2/6/2019,18:07,Ewallet,57.92,4.761904762,2.896,4.5,6,11,11,15.204
529-56-3974,4,5.102,107.142,3/9/2019,17:03,Cash,102.04,4.761904762,5.102,6.8,7,12,12,26.7855
365-64-0515,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,8,13,13,49.2975
252-56-2699,10,21.595,453.495,2/7/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2,3,14,14,45.3495
829-34-3910,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7,8,15,15,74.949
299-46-1805,6,28.116,590.436,1/15/2019,16:19,Cash,562.32,4.761904762,28.116,4.5,6,16,16,98.406
656-95-9349,7,24.1255,506.6355,3/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6,1,17,17,72.3765
